iteration,accepted,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,894.0,-800.0,-15653.85,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,25389.1,2321379358.52,1575421.93726,2321596068.49
1.0,accepted,894.0,-879.0,-15388.6245192,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,24075.0,2434595777.46,384065.150925,2434532112.12
2.0,accepted,894.0,-879.0,-12651.3041526,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,26036.7535462,2476557170.93,552205.031351,2476516558.01
3.0,accepted,894.0,-879.0,-10460.7510359,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,31129.0450798,2508270866.87,1415342.77524,2508312155.3
4.0,rejected,894.0,-879.0,-12747.3984559,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40795.1810989,2474016926.23,2199053.68745,2474490527.24
5.0,rerun,894.0,-879.0,-10460.7510359,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,31129.0450798,2508216663.89,438252.999135,2508277300.81
6.0,accepted,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32977.1508932,2513753405.21,1610368.54458,2513909336.56
7.0,rejected,894.0,-879.0,-10352.1054628,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30563.9113198,2509226532.57,1448340.41785,2509164144.73
8.0,rerun,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32977.1508932,2513569758.75,830588.068548,2513726529.27
9.0,accepted,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,29520.8605136,2513970797.38,2045607.24303,2514562162.96
10.0,rejected,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,37125.5445766,2512987461.62,1089176.60863,2512871579.2
11.0,rerun,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,29520.8605136,2514603980.04,295302.690776,2514651816.07
12.0,rejected,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,25490.2194043,2513373849.84,2169336.71675,2513288889.4
13.0,rerun,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,29520.8605136,2514279076.05,813852.136011,2514340697.54
14.0,accepted,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,31633.6446029,2514447062.01,1908060.33115,2514077263.65
15.0,rejected,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34766.8596494,2512802310.36,1838647.83264,2512870828.16
16.0,rerun,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,31633.6446029,2513434884.41,2134061.60238,2513834421.76
17.0,accepted,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34092.9084205,2514364749.58,1138545.73761,2514490434.15
18.0,rejected,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,31340.0156428,2514299695.62,892002.949626,2514007859.16
19.0,rerun,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34092.9084205,2513439386.69,688139.090867,2513653093.95
20.0,accepted,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30524.4978849,2514019411.44,595039.788095,2513903319.32
21.0,rejected,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,24075.0,2512311387.95,688178.97417,2512455301.87
22.0,rerun,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30524.4978849,2513347202.43,1297050.90482,2513520347.33
23.0,rejected,894.0,-879.0,-11559.7911258,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,31512.7263978,2491502843.52,337747.385632,2491454742.59
24.0,rerun,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30524.4978849,2513639277.11,800192.672928,2513957732.59
25.0,accepted,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,24713.7876168,2513908096.21,1430174.63778,2513905106.67
26.0,accepted,894.0,-879.0,-10052.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30003.0192942,2514348849.43,1136859.48108,2514208274.99
